Model,FPR,TPR
KNN,0.980392,0.993920
KNN,1.000000,1.000000
SVM,0.000000,0.094710
SVM,0.019608,0.122488
SVM,0.021739,0.195055
SVM,0.024390,0.237427
SVM,0.025000,0.250873
SVM,0.043478,0.261492
SVM,0.045455,0.261492
SVM,0.048780,0.288611
SVM,0.050000,0.298695
SVM,0.058824,0.324621
SVM,0.065217,0.361789
SVM,0.075000,0.380276
SVM,0.078431,0.398795
SVM,0.086957,0.407644
SVM,0.090909,0.472557
SVM,0.097561,0.486116
SVM,0.098039,0.502783
SVM,0.100000,0.512867
SVM,0.108696,0.516407
SVM,0.113636,0.518161
SVM,0.117647,0.520013
SVM,0.125000,0.523374
SVM,0.130435,0.526914
SVM,0.136364,0.532177
SVM,0.137255,0.535881
SVM,0.150000,0.539242
SVM,0.152174,0.539242
SVM,0.156863,0.541094
SVM,0.170732,0.547874
SVM,0.175000,0.551235
SVM,0.176471,0.560494
SVM,0.181818,0.579793
SVM,0.195122,0.593352
SVM,0.195652,0.607511
SVM,0.200000,0.617595
SVM,0.204545,0.631630
SVM,0.215686,0.639038
SVM,0.217391,0.640808
SVM,0.219512,0.647587
SVM,0.225000,0.650949
SVM,0.227273,0.663229
SVM,0.235294,0.665081
SVM,0.239130,0.666851
SVM,0.243902,0.668546
SVM,0.250000,0.684041
SVM,0.254902,0.687744
SVM,0.260870,0.691284
SVM,0.268293,0.692979
SVM,0.272727,0.694733
SVM,0.274510,0.700289
SVM,0.275000,0.717096
SVM,0.282609,0.720636
SVM,0.292683,0.732500
SVM,0.295455,0.746535
SVM,0.300000,0.751577
SVM,0.313725,0.757133
SVM,0.318182,0.762396
SVM,0.340909,0.765905
SVM,0.341463,0.767599
SVM,0.347826,0.769369
SVM,0.350000,0.776092
SVM,0.352941,0.781648
SVM,0.365854,0.783343
SVM,0.375000,0.793427
SVM,0.386364,0.800444
SVM,0.390244,0.805529
SVM,0.391304,0.810839
SVM,0.392157,0.810839
SVM,0.409091,0.812593
SVM,0.411765,0.818149
SVM,0.413043,0.819918
SVM,0.414634,0.821613
SVM,0.425000,0.824975
SVM,0.431818,0.826729
SVM,0.434783,0.830269
SVM,0.439024,0.840438
SVM,0.450000,0.845480
SVM,0.450980,0.858443
SVM,0.478261,0.863753
SVM,0.490196,0.871161
SVM,0.500000,0.881613
SVM,0.521739,0.883383
SVM,0.522727,0.890401
SVM,0.525000,0.900485
SVM,0.529412,0.902336
SVM,0.536585,0.905726
SVM,0.565217,0.909266
SVM,0.568627,0.911118
SVM,0.600000,0.912799
SVM,0.609756,0.914494
SVM,0.613636,0.916248
SVM,0.625000,0.921290
SVM,0.627451,0.923142
SVM,0.634146,0.924837
SVM,0.650000,0.926517
SVM,0.652174,0.928287
SVM,0.659091,0.930042
SVM,0.666667,0.931894
SVM,0.673913,0.935433
SVM,0.682927,0.937128
SVM,0.686275,0.946388
SVM,0.695652,0.948157
SVM,0.700000,0.949838
SVM,0.704545,0.955101
SVM,0.705882,0.960657
SVM,0.707317,0.962352
SVM,0.725490,0.964204
SVM,0.745098,0.967907
SVM,0.750000,0.973170
SVM,0.764706,0.976874
SVM,0.780488,0.978569
SVM,0.784314,0.982273
SVM,0.795455,0.985782
SVM,0.803922,0.987633
SVM,0.804348,0.987633
SVM,0.823529,0.989485
SVM,0.847826,0.989485
SVM,0.869565,0.991255
SVM,0.900000,0.992936
SVM,0.909091,0.994690
SVM,0.913043,0.998230
SVM,0.934783,1.000000
SVM,1.000000,1.000000
