Model,Fold,Epoch,Train_Loss,Test_Loss,TPR,FPR
XGBoost,3,270,0.6923,0.6903,1.0000,1.0000
XGBoost,3,280,0.6924,0.6907,1.0000,1.0000
XGBoost,3,290,0.6933,0.6806,1.0000,1.0000
XGBoost,3,300,0.6916,0.6844,1.0000,1.0000
XGBoost,3,310,0.6916,0.6861,1.0000,1.0000
XGBoost,3,320,0.6918,0.6882,1.0000,1.0000
XGBoost,3,330,0.6916,0.6865,1.0000,1.0000
XGBoost,3,340,0.6919,0.6829,1.0000,1.0000
XGBoost,3,350,0.6918,0.6881,1.0000,1.0000
XGBoost,3,360,0.6921,0.6897,1.0000,1.0000
XGBoost,3,370,0.6917,0.6838,1.0000,1.0000
XGBoost,3,380,0.6924,0.6907,1.0000,1.0000
XGBoost,3,390,0.6916,0.6857,1.0000,1.0000
XGBoost,3,400,0.6919,0.6828,1.0000,1.0000
XGBoost,3,410,0.6920,0.6891,1.0000,1.0000
XGBoost,3,420,0.6916,0.6851,1.0000,1.0000
XGBoost,3,430,0.6916,0.6844,1.0000,1.0000
XGBoost,3,440,0.6922,0.6820,1.0000,1.0000
XGBoost,3,450,0.6924,0.6816,1.0000,1.0000
XGBoost,3,460,0.6917,0.6872,1.0000,1.0000
XGBoost,3,470,0.6917,0.6836,1.0000,1.0000
XGBoost,3,480,0.6929,0.6923,1.0000,1.0000
XGBoost,3,490,0.6918,0.6832,1.0000,1.0000
XGBoost,3,500,0.6916,0.6859,1.0000,1.0000
Logistic Regression,3,10,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,20,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,30,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,40,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,50,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,60,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,70,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,80,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,90,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,100,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,110,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,120,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,130,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,140,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,150,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,160,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,170,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,180,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,190,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,200,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,210,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,220,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,230,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,240,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,250,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,260,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,270,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,280,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,290,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,300,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,310,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,320,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,330,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,340,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,350,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,360,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,370,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,380,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,390,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,400,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,410,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,420,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,430,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,440,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,450,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,460,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,470,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,480,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,490,0.2497,0.2983,0.8571,0.0667
Logistic Regression,3,500,0.2497,0.2983,0.8571,0.0667
Naive Bayes,3,500,0.3195,0.4406,0.8571,0.0000
KNN,3,500,0.3002,0.3001,0.8095,0.0000
SVM,3,500,0.4067,0.4273,0.8095,0.0000
XGBoost,4,10,0.6824,0.7378,1.0000,1.0000
XGBoost,4,20,0.6826,0.7263,1.0000,1.0000
XGBoost,4,30,0.6823,0.7342,1.0000,1.0000
XGBoost,4,40,0.6825,0.7280,1.0000,1.0000
XGBoost,4,50,0.6825,0.7265,1.0000,1.0000
XGBoost,4,60,0.6823,0.7328,1.0000,1.0000
XGBoost,4,70,0.6824,0.7383,1.0000,1.0000
XGBoost,4,80,0.6827,0.7430,1.0000,1.0000
XGBoost,4,90,0.6823,0.7329,1.0000,1.0000
XGBoost,4,100,0.6825,0.7265,1.0000,1.0000
XGBoost,4,110,0.6823,0.7320,1.0000,1.0000
XGBoost,4,120,0.6880,0.7020,1.0000,1.0000
XGBoost,4,130,0.6824,0.7362,1.0000,1.0000
XGBoost,4,140,0.6829,0.7464,1.0000,1.0000
XGBoost,4,150,0.6846,0.7123,1.0000,1.0000
XGBoost,4,160,0.6835,0.7176,1.0000,1.0000
XGBoost,4,170,0.6853,0.7097,1.0000,1.0000
XGBoost,4,180,0.6823,0.7327,1.0000,1.0000
XGBoost,4,190,0.6827,0.7431,1.0000,1.0000
XGBoost,4,200,0.6823,0.7351,1.0000,1.0000
XGBoost,4,210,0.6825,0.7279,1.0000,1.0000
XGBoost,4,220,0.6825,0.7275,1.0000,1.0000
XGBoost,4,230,0.6849,0.7616,1.0000,1.0000
XGBoost,4,240,0.6838,0.7163,1.0000,1.0000
XGBoost,4,250,0.6824,0.7285,1.0000,1.0000
XGBoost,4,260,0.6828,0.7451,1.0000,1.0000
XGBoost,4,270,0.6829,0.7458,1.0000,1.0000
XGBoost,4,280,0.6824,0.7284,1.0000,1.0000
XGBoost,4,290,0.6825,0.7411,1.0000,1.0000
XGBoost,4,300,0.6828,0.7237,1.0000,1.0000
XGBoost,4,310,0.6823,0.7332,1.0000,1.0000
XGBoost,4,320,0.6834,0.7183,1.0000,1.0000
XGBoost,4,330,0.6828,0.7445,1.0000,1.0000
XGBoost,4,340,0.6824,0.7299,1.0000,1.0000
XGBoost,4,350,0.6823,0.7350,1.0000,1.0000
XGBoost,4,360,0.6832,0.7198,1.0000,1.0000
XGBoost,4,370,0.6830,0.7215,1.0000,1.0000
XGBoost,4,380,0.6836,0.7173,1.0000,1.0000
XGBoost,4,390,0.6831,0.7209,1.0000,1.0000
XGBoost,4,400,0.6827,0.7435,1.0000,1.0000
XGBoost,4,410,0.6823,0.7333,1.0000,1.0000
XGBoost,4,420,0.6837,0.7534,1.0000,1.0000
XGBoost,4,430,0.6828,0.7452,1.0000,1.0000
XGBoost,4,440,0.6824,0.7364,1.0000,1.0000
XGBoost,4,450,0.6832,0.7197,1.0000,1.0000
XGBoost,4,460,0.6824,0.7283,1.0000,1.0000
XGBoost,4,470,0.6833,0.7190,1.0000,1.0000
XGBoost,4,480,0.6833,0.7191,1.0000,1.0000
XGBoost,4,490,0.6824,0.7288,1.0000,1.0000
XGBoost,4,500,0.6826,0.7261,1.0000,1.0000
Logistic Regression,4,10,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,20,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,30,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,40,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,50,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,60,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,70,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,80,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,90,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,100,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,110,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,120,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,130,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,140,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,150,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,160,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,170,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,180,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,190,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,200,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,210,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,220,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,230,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,240,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,250,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,260,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,270,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,280,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,290,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,300,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,310,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,320,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,330,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,340,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,350,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,360,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,370,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,380,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,390,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,400,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,410,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,420,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,430,0.2204,0.4367,0.9286,0.2381
